,count
Asia Argento,13
Judy Greer,13
Lea Thompson,13
Alfre Woodard,13
Melissa Leo,13
Peter Dinklage,13
Eddie Redmayne,13
Terence Stamp,13
Regina King,13
Neil Patrick Harris,13
Carrie Fisher,13
Amy Poehler,13
Rachael Leigh Cook,13
Jena Malone,13
Cheech Marin,13
Chris Pine,13
Mae Whitman,13
Roger Moore,13
Vincent Cassel,13
Nia Long,13
Karl Urban,13
Hilary Duff,13
Derek Luke,13
Kevin Hart,13
George Dzundza,13
Richard E. Grant,13
Teresa Palmer,13
Sara Paxton,13
Crispin Glover,13
Kirk Douglas,13
Ed Lauter,13
Idris Elba,13
Gary Sinise,13
Michael Cera,13
Cary-Hiroyuki Tagawa,13
Johnny Knoxville,13
Parker Posey,13
Joseph Fiennes,13
Christopher Lambert,13
Jim Sturgess,13
Mischa Barton,13
Wes Bentley,13
John C. McGinley,13
Jason Robards,13
Joe Pantoliano,13
Danny Dyer,13
Bette Midler,13
Chiwetel Ejiofor,13
J. T. Walsh,13
Julian Sands,13
Elizabeth Perkins,13
Timothy Olyphant,13
Warren Oates,13
Cedric the Entertainer,13
Lisa Kudrow,13
Michael Jai White,13
Alexis Bledel,13
Kevin Conroy,13
Harry Dean Stanton,13
Charles S. Dutton,13
Diane Kruger,13
Hugh Dancy,13
Ernest Borgnine,13
Joe Mantegna,13
M. Emmet Walsh,13
Eric Idle,13
Sarah Polley,13
Stephen Tobolowsky,13
Peter Sellers,13
Leslie Nielsen,13
"Louis Gossett, Jr.",13
Isla Fisher,13
Gillian Anderson,13
Alessandro Nivola,13
Kelly Lynch,13
Jerry O'Connell,13
Alan Alda,13
Chazz Palminteri,13
Jason Biggs,13
Warren Beatty,12
Kevin James,12
Nathan Lane,12
Piper Perabo,12
Olivia Williams,12
Tom Arnold,12
Billy Zane,12
Danny Aiello,12
David Morrissey,12
Natasha Lyonne,12
Peter Mullan,12
Joe Pesci,12
David Warner,12
Mary Elizabeth Winstead,12
Lili Taylor,12
Alicia Silverstone,12
Julie Walters,12
Courtney B. Vance,12
Beau Bridges,12
Marlon Wayans,12
Mena Suvari,12
Michelle Trachtenberg,12
Campbell Scott,12
Jeffrey Dean Morgan,12
Dylan Baker,12
Freddie Prinze Jr.,12
Madeleine Stowe,12
Larry Miller,12
Vanessa Hudgens,12
Tia Carrere,12
"Clifton Collins, Jr.",12
Bryan Cranston,12
Ronny Cox,12
