,count
Stevie Wermers,5
Larry Clark,5
Patrice Leconte,5
John Duigan,5
Edgar Wright,5
Mike Mitchell,5
Anne Fletcher,5
David Carson,5
Costa-Gavras,5
Harald Zwart,5
Michael Radford,5
John Cassavetes,5
David Yates,5
Phil Alden Robinson,5
Michael Polish,5
Victor Salva,5
Richard Franklin,5
Aaron Norris,5
Shari Springer Berman,5
Greg Beeman,5
Joe Carnahan,5
Reginald Hudlin,5
Seth Gordon,5
Geoff Murphy,5
Daniel Petrie,5
David S. Ward,5
Manny Rodriguez,5
Roberts Gannaway,5
Jeannot Szwarc,5
Eric Darnell,5
John Sturges,5
Bill Melendez,5
Bobcat Goldthwait,5
Rowdy Herrington,5
Nick Hurran,5
Adam Green,5
Alex Kendrick,5
Mike Figgis,5
Christopher Guest,5
Martin Brest,5
Dominic Sena,5
NimrÃ³d Antal,5
Robert Pulcini,5
Gregor Jordan,5
John Herzfeld,5
Mike Binder,5
Ken Annakin,5
Neil Marshall,5
Jack Sholder,5
Curt Geda,5
Brian Yuzna,5
Steve Boyum,5
James L. Brooks,5
Mikael HÃ¥fstrÃ¶m,5
Don E. FauntLeRoy,5
Dito Montiel,5
P.J. Hogan,5
Spike Jonze,5
Anthony C. Ferrante,5
Andrei Konchalovsky,5
Mark Steven Johnson,5
Owen Hurley,5
John Moore,5
Baz Luhrmann,5
Jean-Jacques Annaud,5
Ben Stiller,5
Tamra Davis,5
Stephen Daldry,5
Steven C. Miller,5
Boaz Yakin,5
Franklin J. Schaffner,5
Jake Kasdan,5
Michelangelo Antonioni,5
Sheldon Lettich,5
Allan Arkush,5
Joseph Zito,5
Mark A.Z. DippÃ©,5
John Gulager,5
David Wain,5
David Ayer,5
Griffin Dunne,5
Tim Johnson,5
Michael Keusch,5
J.J. Abrams,5
Alejandro GonzÃ¡lez IÃ±Ã¡rritu,5
Robert Schwentke,5
John Crowley,4
Anthony Minghella,4
Bryan Spicer,4
Rick Rosenthal,4
Mark Robson,4
Q. Allan Brocka,4
Richard Stanley,4
Rodrigo GarcÃ­a,4
Ralph Nelson,4
Jack Hill,4
Patricia Riggen,4
Craig Shapiro,4
Jen Soska,4
Sylvia Soska,4
Carroll Ballard,4
Gordon Chan,4
Larry Charles,4
Mark Herman,4
James Bridges,4
Sam Dunn,4
Arlene Sanford,4
Kirk Jones,4
FranÃ§ois Ozon,4
Vicky Jenson,4
Nick Broomfield,4
Jay Russell,4
Tommy Lee Wallace,4
Bruce Sinofsky,4
Howard Hawks,4
Joe Chappelle,4
Steve Oedekerk,4
John Curran,4
Mary Harron,4
Xavier Gens,4
Jay Karas,4
Anton Corbijn,4
Karyn Kusama,4
Brian Henson,4
John Pasquin,4
Richard Eyre,4
Mark Rydell,4
Neil Burger,4
James Gunn,4
Roy Ward Baker,4
Irvin Kershner,4
Anthony Hickox,4
Tom Holland,4
Mel Gibson,4
Spike Brandt,4
Carl Franklin,4
Sheldon Wilson,4
Paul Michael Glaser,4
Jason Eisener,4
Mark Pellington,4
Ted Demme,4
Damon Santostefano,4
Mike Disa,4
Andrew Bergman,4
Dennis Hopper,4
Peter MacDonald,4
Shinji Aramaki,4
Douglas McGrath,4
Joe Nussbaum,4
Michael Dowse,4
Howard Zieff,4
Shinichiro Watanabe,4
Michael Anderson,4
Bruce Robinson,4
P.J. Pesce,4
Stephan Elliott,4
Kenneth Johnson,4
Jamie Babbit,4
Mike Hodges,4
Tommy Chong,4
Joseph Sargent,4
James Marsh,4
Dean DeBlois,4
Phil Lord,4
Jack Gold,4
Rachel Goldenberg,4
Amy Berg,4
Nicolas Winding Refn,4
Matt Reeves,4
Joel Gallen,4
Mark Atkins,4
Steve Pink,4
Len Wiseman,4
Kevin Greutert,4
Anthony DiBlasi,4
John R. Cherry III,4
Sanaa Hamri,4
Julie Taymor,4
Duwayne Dunham,4
Raman Hui,4
John Lee Hancock,4
Louis Morneau,4
Kari Skogland,4
Don Taylor,4
Jim Henson,4
Marc Lawrence,4
Richard LaGravenese,4
Lisa Cholodenko,4
Shane Meadows,4
Carlo Verdone,4
Mike Mendez,4
Julian Gilbey,4
Brian Gibson,4
Lee Unkrich,4
Chris Renaud,4
Luke Greenfield,4
Simon J. Smith,4
Philip Martin,4
Nicholas Stoller,4
Daniel Barnz,4
Steve Loter,4
Kevin Connor,4
Freddie Francis,4
